    Cumulative average(K)        Min Uncertainty(K)        Max Uncertainty(K)
                  4003.115                   4003.051                   4002.943
                  4002.781                   4002.559                   4002.272
                  4001.922                   4001.521                   4001.082
                  4000.623                   4000.158                   3999.702
                  3999.261                   3998.843                   3998.447
                  3998.077                   3997.737                   3997.435
                  3997.183                   3996.995                   3996.884
                  3996.859                   3996.923                   3997.077
                  3997.314                   3997.618                   3997.962
                  3998.313                   3998.631                   3998.877
                  3999.023                   3999.053                   3998.969
                  3998.791                   3998.543                   3998.258
                  3997.968                   3997.712                   3997.531
                  3997.457                   3997.507                   3997.680
                  3997.953                   3998.293                   3998.657
                  3998.998                   3999.273                   3999.443
                  3999.481                   3999.376                   3999.142
                  3998.813                   3998.439                   3998.080
                  3997.788                   3997.595                   3997.512
                  3997.524                   3997.601                   3997.705
                  3997.794                   3997.837                   3997.808
                  3997.696                   3997.501                   3997.241
                  3996.945                   3996.654                   3996.408
                  3996.243                   3996.182                   3996.231
                  3996.384                   3996.629                   3996.953
                  3997.346                   3997.804                   3998.321
                  3998.885                   3999.477                   4000.067
                  4000.615                   4001.073                   4001.400
                  4001.557                   4001.523                   4001.294
                  4000.883                   4000.324                   3999.662
                  3998.953                   3998.254                   3997.622
                  3997.106                   3996.741                   3996.544
                  3996.517                   3996.643                   3996.897
                  3997.248                   3997.663                   3998.118
                  3998.599                   3999.103                   3999.629
                  4000.178                   4000.731                   4001.259
                  4001.720                   4002.076                   4002.304
                  4002.399                   4002.377                   4002.268
                  4002.103                   4001.909                   4001.698
                  4001.472                   4001.227                   4000.957
                  4000.658                   4000.333                   3999.986
                  3999.630                   3999.276                   3998.939
                  3998.628                   3998.351                   3998.111
                  3997.910                   3997.751                   3997.641
                  3997.589                   3997.601                   3997.678
                  3997.807                   3997.969                   3998.131
                  3998.259                   3998.321                   3998.295
                  3998.172                   3997.961                   3997.689
                  3997.393                   3997.113                   3996.883
                  3996.720                   3996.622                   3996.573
                  3996.551                   3996.540                   3996.539
                  3996.552                   3996.587                   3996.648
                  3996.733                   3996.838                   3996.960
                  3997.098                   3997.252                   3997.425
                  3997.612                   3997.805                   3997.989
                  3998.148                   3998.270                   3998.350
                  3998.389                   3998.397                   3998.382
                  3998.349                   3998.302                   3998.240
                  3998.170                   3998.106                   3998.067
                  3998.076                   3998.153                   3998.307
                  3998.539                   3998.835                   3999.174
                  3999.531                   3999.880                   4000.191
                  4000.440                   4000.602                   4000.661
                  4000.607                   4000.443                   4000.181
                  3999.846                   3999.471                   3999.097
                  3998.772                   3998.542                   3998.445
                  3998.510                   3998.745                   3999.140
                  3999.662                   4000.261                   4000.871
                  4001.423                   4001.852                   4002.115
                  4002.193                   4002.101                   4001.879
                  4001.579                   4001.249                   4000.927
                  4000.630                   4000.360                   4000.111
                  3999.872                   3999.636                   3999.403
                  3999.178                   3998.975                   3998.812
                  3998.702                   3998.654                   3998.662
