    Cumulative average(K)        Min Uncertainty(K)        Max Uncertainty(K)
                  3987.705                   3988.104                   3988.530
                  3988.967                   3989.398                   3989.811
                  3990.194                   3990.540                   3990.844
                  3991.106                   3991.330                   3991.521
                  3991.683                   3991.817                   3991.921
                  3991.989                   3992.014                   3991.988
                  3991.903                   3991.755                   3991.541
                  3991.269                   3990.951                   3990.609
                  3990.268                   3989.955                   3989.698
                  3989.522                   3989.447                   3989.481
                  3989.625                   3989.864                   3990.173
                  3990.512                   3990.842                   3991.120
                  3991.307                   3991.372                   3991.298
                  3991.084                   3990.745                   3990.316
                  3989.840                   3989.365                   3988.933
                  3988.576                   3988.311                   3988.143
                  3988.067                   3988.071                   3988.140
                  3988.257                   3988.401                   3988.554
                  3988.697                   3988.818                   3988.905
                  3988.949                   3988.944                   3988.887
                  3988.781                   3988.635                   3988.464
                  3988.286                   3988.119                   3987.976
                  3987.864                   3987.782                   3987.728
                  3987.695                   3987.683                   3987.697
                  3987.747                   3987.847                   3988.009
                  3988.231                   3988.504                   3988.800
                  3989.087                   3989.333                   3989.515
                  3989.625                   3989.670                   3989.668
                  3989.645                   3989.622                   3989.617
                  3989.638                   3989.688                   3989.763
                  3989.854                   3989.952                   3990.046
                  3990.123                   3990.169                   3990.176
                  3990.138                   3990.052                   3989.919
                  3989.742                   3989.525                   3989.275
                  3989.003                   3988.724                   3988.455
                  3988.214                   3988.021                   3987.888
                  3987.825                   3987.831                   3987.903
                  3988.027                   3988.190                   3988.380
                  3988.592                   3988.824                   3989.079
                  3989.363                   3989.676                   3990.013
                  3990.366                   3990.718                   3991.055
                  3991.359                   3991.616                   3991.814
                  3991.948                   3992.015                   3992.023
                  3991.984                   3991.914                   3991.829
                  3991.744                   3991.670                   3991.618
                  3991.599                   3991.621                   3991.687
                  3991.789                   3991.912                   3992.031
                  3992.117                   3992.145                   3992.095
                  3991.958                   3991.737                   3991.442
                  3991.089                   3990.699                   3990.291
                  3989.885                   3989.494                   3989.130
                  3988.800                   3988.512                   3988.273
                  3988.089                   3987.967                   3987.913
                  3987.923                   3987.990                   3988.099
                  3988.224                   3988.337                   3988.410
                  3988.414                   3988.328                   3988.142
                  3987.862                   3987.507                   3987.116
                  3986.737                   3986.420                   3986.207
                  3986.131                   3986.207                   3986.430
                  3986.783                   3987.234                   3987.741
                  3988.257                   3988.739                   3989.153
                  3989.480                   3989.723                   3989.902
                  3990.046                   3990.190                   3990.359
                  3990.564                   3990.802                   3991.060
                  3991.319                   3991.564                   3991.786
                  3991.981                   3992.146                   3992.277
                  3992.366                   3992.402                   3992.375
                  3992.277                   3992.104                   3991.860
                  3991.554                   3991.199                   3990.816
                  3990.425                   3990.050                   3989.714
                  3989.436                   3989.231                   3989.109
                  3989.076                   3989.131                   3989.267
                  3989.472                   3989.729                   3990.018
                  3990.316                   3990.600                   3990.846
                  3991.032                   3991.139                   3991.156
                  3991.079                   3990.913                   3990.672
                  3990.378                   3990.057                   3989.740
                  3989.459                   3989.247                   3989.127
                  3989.114                   3989.205                   3989.386
                  3989.627                   3989.893                   3990.147
                  3990.355                   3990.494                   3990.553
                  3990.533                   3990.447                   3990.313
                  3990.151                   3989.980                   3989.817
                  3989.674                   3989.559                   3989.477
                  3989.425                   3989.394                   3989.375
                  3989.360                   3989.341                   3989.320
                  3989.301                   3989.293                   3989.302
                  3989.331                   3989.381                   3989.447
                  3989.522                   3989.597                   3989.660
                  3989.701                   3989.709                   3989.678
                  3989.603                   3989.484                   3989.325
                  3989.134                   3988.927                   3988.720
                  3988.538                   3988.404                   3988.341
                  3988.365                   3988.486                   3988.703
                  3989.002                   3989.362                   3989.756
                  3990.160                   3990.557                   3990.943
                  3991.316                   3991.674                   3992.003
                  3992.280                   3992.478                   3992.575
                  3992.562                   3992.443                   3992.237
                  3991.972                   3991.677                   3991.385
                  3991.119                   3990.892                   3990.711
                  3990.572                   3990.467                   3990.382
                  3990.310                   3990.242                   3990.173
                  3990.104                   3990.042                   3989.992
                  3989.964                   3989.960                   3989.986
                  3990.045                   3990.142                   3990.279
                  3990.455                   3990.659                   3990.873
                  3991.073                   3991.234                   3991.339
                  3991.375                   3991.339                   3991.233
                  3991.062                   3990.837                   3990.565
                  3990.259                   3989.935                   3989.610
                  3989.304                   3989.036                   3988.820
                  3988.665                   3988.571                   3988.533
                  3988.540                   3988.578                   3988.633
                  3988.695                   3988.757                   3988.819
                  3988.885                   3988.961                   3989.054
                  3989.165                   3989.291                   3989.428
                  3989.568                   3989.705                   3989.833
                  3989.946                   3990.042                   3990.117
                  3990.177                   3990.230                   3990.291
                  3990.379                   3990.514                   3990.704
                  3990.950                   3991.240                   3991.555
                  3991.871                   3992.163                   3992.410
                  3992.592                   3992.692                   3992.697
                  3992.597                   3992.391                   3992.088
                  3991.713                   3991.298                   3990.879
                  3990.486                   3990.141                   3989.855
                  3989.626                   3989.450                   3989.318
                  3989.221                   3989.152                   3989.110
                  3989.100                   3989.128                   3989.205
                  3989.333                   3989.507                   3989.710
                  3989.919                   3990.108                   3990.256
                  3990.349                   3990.382                   3990.362
                  3990.301                   3990.219                   3990.135
                  3990.071                   3990.048                   3990.084
                  3990.194                   3990.385                   3990.655
                  3990.989                   3991.367                   3991.757
                  3992.130                   3992.454                   3992.701
                  3992.851                   3992.889                   3992.815
                  3992.640                   3992.387                   3992.086
                  3991.770                   3991.469                   3991.203
                  3990.984                   3990.813                   3990.687
                  3990.594                   3990.525                   3990.466
                  3990.409                   3990.347                   3990.278
                  3990.202                   3990.119                   3990.026
                  3989.918                   3989.785                   3989.618
                  3989.415                   3989.181                   3988.931
                  3988.690                   3988.488                   3988.356
                  3988.319                   3988.392                   3988.576
                  3988.857                   3989.211                   3989.601
                  3989.988                   3990.335                   3990.611
                  3990.794                   3990.880                   3990.876
                  3990.805                   3990.693                   3990.571
                  3990.468                   3990.402                   3990.384
                  3990.411                   3990.475                   3990.560
                  3990.650                   3990.732                   3990.796
                  3990.838                   3990.860                   3990.867
                  3990.868                   3990.867                   3990.865
                  3990.864                   3990.863                   3990.869
                  3990.891                   3990.945                   3991.039
                  3991.176                   3991.345                   3991.529
                  3991.707                   3991.864                   3991.989
                  3992.076                   3992.127                   3992.145
                  3992.135                   3992.097                   3992.034
                  3991.945                   3991.830                   3991.691
                  3991.534                   3991.371                   3991.221
                  3991.103                   3991.025                   3990.985
                  3990.969                   3990.960                   3990.943
                  3990.910                   3990.855                   3990.777
                  3990.673                   3990.546                   3990.402
                  3990.252                   3990.113                   3990.001
                  3989.936                   3989.930                   3989.989
                  3990.112                   3990.288                   3990.501
                  3990.729                   3990.947                   3991.129
                  3991.255                   3991.311                   3991.293
                  3991.206                   3991.060                   3990.867
                  3990.637                   3990.382                   3990.112
                  3989.840                   3989.583                   3989.359
                  3989.189                   3989.090                   3989.077
                  3989.152                   3989.310                   3989.537
                  3989.814                   3990.119                   3990.431
                  3990.730                   3990.998                   3991.218
                  3991.376                   3991.471                   3991.510
                  3991.510                   3991.491                   3991.464
                  3991.433                   3991.395                   3991.346
                  3991.280                   3991.195                   3991.091
                  3990.970                   3990.835                   3990.694
                  3990.559                   3990.446                   3990.371
                  3990.347                   3990.378                   3990.458
                  3990.576                   3990.715                   3990.856
                  3990.989                   3991.104                   3991.205
                  3991.297                   3991.387                   3991.476
                  3991.564                   3991.640                   3991.695
                  3991.718                   3991.707                   3991.665
                  3991.602                   3991.532                   3991.468
                  3991.416                   3991.379                   3991.349
                  3991.320                   3991.283                   3991.236
                  3991.181                   3991.125                   3991.078
                  3991.046                   3991.035                   3991.051
                  3991.095                   3991.163                   3991.246
                  3991.328                   3991.395                   3991.434
                  3991.438                   3991.404                   3991.334
                  3991.235                   3991.119                   3991.004
                  3990.914                   3990.869                   3990.881
                  3990.951                   3991.066                   3991.212
                  3991.372                   3991.535                   3991.692
                  3991.841                   3991.979                   3992.104
                  3992.210                   3992.285                   3992.318
                  3992.295                   3992.204                   3992.039
                  3991.800                   3991.493                   3991.131
                  3990.731                   3990.314                   3989.903
                  3989.521                   3989.188                   3988.924
                  3988.747                   3988.672                   3988.704
                  3988.844                   3989.080                   3989.392
                  3989.754                   3990.138                   3990.516
                  3990.866                   3991.171                   3991.418
                  3991.602                   3991.721                   3991.777
                  3991.777                   3991.732                   3991.656
                  3991.563                   3991.465                   3991.367
                  3991.269                   3991.166                   3991.050
                  3990.915                   3990.761                   3990.592
                  3990.419                   3990.259                   3990.128
                  3990.044                   3990.023                   3990.076
                  3990.206                   3990.413                   3990.684
                  3991.004                   3991.351                   3991.707
                  3992.054                   3992.380                   3992.674
                  3992.930                   3993.139                   3993.294
                  3993.390                   3993.428                   3993.414
                  3993.357                   3993.273                   3993.172
                  3993.066                   3992.960                   3992.859
                  3992.761                   3992.665                   3992.562
                  3992.446                   3992.307                   3992.138
                  3991.935                   3991.697                   3991.431
                  3991.142                   3990.844                   3990.546
                  3990.259                   3989.993                   3989.754
                  3989.543                   3989.361                   3989.207
                  3989.083                   3988.997                   3988.961
                  3988.990                   3989.095                   3989.280
                  3989.536                   3989.847                   3990.190
                  3990.540                   3990.872                   3991.168
                  3991.411                   3991.592                   3991.708
                  3991.757                   3991.743                   3991.673
                  3991.556                   3991.407                   3991.243
                  3991.086                   3990.955                   3990.869
                  3990.839                   3990.872                   3990.967
                  3991.117                   3991.311                   3991.536
                  3991.773                   3992.009                   3992.230
                  3992.425                   3992.590                   3992.721
                  3992.814                   3992.866                   3992.872
                  3992.826                   3992.725                   3992.570
                  3992.366                   3992.125                   3991.863
                  3991.595                   3991.338                   3991.105
                  3990.903                   3990.737                   3990.610
                  3990.522                   3990.472                   3990.460
                  3990.485                   3990.548                   3990.648
                  3990.781                   3990.943                   3991.123
                  3991.308                   3991.482                   3991.629
                  3991.733                   3991.785                   3991.784
                  3991.733                   3991.643                   3991.531
                  3991.413                   3991.299                   3991.196
                  3991.105                   3991.019                   3990.934
                  3990.847                   3990.755                   3990.662
                  3990.572                   3990.495                   3990.440
                  3990.415                   3990.431                   3990.492
                  3990.600                   3990.754                   3990.947
                  3991.171                   3991.416                   3991.669
                  3991.912                   3992.131                   3992.309
                  3992.435                   3992.503                   3992.516
                  3992.482                   3992.419                   3992.345
                  3992.278                   3992.228                   3992.198
                  3992.182                   3992.170                   3992.154
                  3992.126                   3992.085                   3992.034
                  3991.978                   3991.921                   3991.864
                  3991.807                   3991.745                   3991.673
                  3991.586                   3991.478                   3991.350
                  3991.204                   3991.042                   3990.870
                  3990.696                   3990.525                   3990.364
                  3990.218                   3990.092                   3989.991
                  3989.917                   3989.877                   3989.878
                  3989.926                   3990.028                   3990.185
                  3990.393                   3990.643                   3990.918
                  3991.201                   3991.474                   3991.726
                  3991.948                   3992.139                   3992.301
                  3992.437                   3992.551                   3992.644
                  3992.718                   3992.768                   3992.793
                  3992.790                   3992.762                   3992.714
                  3992.655                   3992.589                   3992.520
                  3992.443                   3992.350                   3992.228
                  3992.071                   3991.876                   3991.649
                  3991.409                   3991.178                   3990.982
                  3990.844                   3990.781                   3990.799
                  3990.891                   3991.045                   3991.242
                  3991.461                   3991.683                   3991.892
                  3992.081                   3992.243                   3992.376
                  3992.477                   3992.546                   3992.580
                  3992.578                   3992.538                   3992.461
                  3992.345                   3992.195                   3992.014
                  3991.810                   3991.589                   3991.365
                  3991.147                   3990.946                   3990.772
                  3990.633                   3990.531                   3990.467
                  3990.441                   3990.449                   3990.490
                  3990.562                   3990.663                   3990.789
                  3990.938                   3991.100                   3991.269
                  3991.433                   3991.583                   3991.712
                  3991.814                   3991.887                   3991.929
                  3991.945                   3991.937                   3991.915
                  3991.890                   3991.874                   3991.877
                  3991.904                   3991.954                   3992.019
                  3992.088                   3992.152                   3992.201
                  3992.233                   3992.248                   3992.246
                  3992.232                   3992.207                   3992.176
                  3992.143                   3992.114                   3992.093
                  3992.083                   3992.084                   3992.095
                  3992.112                   3992.127                   3992.136
                  3992.131                   3992.105                   3992.052
                  3991.966                   3991.850                   3991.708
                  3991.556                   3991.408                   3991.283
                  3991.195                   3991.154                   3991.160
                  3991.209                   3991.290                   3991.390
                  3991.493                   3991.588                   3991.664
                  3991.715                   3991.737                   3991.727
                  3991.685                   3991.615                   3991.520
                  3991.407                   3991.286                   3991.169
                  3991.069                   3991.000                   3990.973
                  3990.997                   3991.077                   3991.214
                  3991.403                   3991.632                   3991.884
                  3992.140                   3992.379                   3992.579
                  3992.724                   3992.805                   3992.818
                  3992.770                   3992.674                   3992.548
                  3992.411                   3992.276                   3992.152
                  3992.044                   3991.951                   3991.873
                  3991.811                   3991.766                   3991.741
                  3991.739                   3991.764                   3991.815
                  3991.891                   3991.985                   3992.091
                  3992.200                   3992.306                   3992.403
                  3992.488                   3992.558                   3992.612
                  3992.646                   3992.656                   3992.639
                  3992.593                   3992.520                   3992.426
                  3992.322                   3992.218                   3992.123
                  3992.040                   3991.972                   3991.921
                  3991.887                   3991.870                   3991.870
                  3991.886                   3991.913                   3991.947
                  3991.986                   3992.023                   3992.056
                  3992.081                   3992.096                   3992.099
                  3992.093                   3992.079                   3992.061
                  3992.042                   3992.023                   3992.003
                  3991.980                   3991.951                   3991.913
                  3991.865                   3991.805                   3991.733
                  3991.647                   3991.548                   3991.436
                  3991.312                   3991.179                   3991.046
                  3990.922                   3990.823                   3990.760
                  3990.744                   3990.780                   3990.865
                  3990.990                   3991.145                   3991.317
                  3991.493                   3991.665                   3991.826
                  3991.973                   3992.100                   3992.207
                  3992.291                   3992.353                   3992.394
                  3992.415                   3992.414                   3992.389
                  3992.339                   3992.263                   3992.163
                  3992.053                   3991.952                   3991.882
                  3991.864                   3991.914                   3992.037
                  3992.226                   3992.466                   3992.732
                  3993.001                   3993.246                   3993.447
                  3993.590                   3993.671                   3993.692
                  3993.660                   3993.585                   3993.476
                  3993.345                   3993.201                   3993.056
                  3992.921                   3992.807                   3992.720
                  3992.667                   3992.646                   3992.651
                  3992.669                   3992.686                   3992.683
                  3992.647                   3992.567                   3992.440
                  3992.270                   3992.066                   3991.845
                  3991.625                   3991.421                   3991.249
                  3991.118                   3991.032                   3990.991
                  3990.991                   3991.026                   3991.089
                  3991.174                   3991.274                   3991.386
                  3991.506                   3991.630                   3991.752
                  3991.865                   3991.960                   3992.028
                  3992.058                   3992.044                   3991.985
                  3991.884                   3991.751                   3991.597
                  3991.437                   3991.288                   3991.171
                  3991.106                   3991.114                   3991.205
                  3991.381                   3991.633                   3991.936
                  3992.259                   3992.567                   3992.827
                  3993.014                   3993.118                   3993.143
                  3993.100                   3993.010                   3992.892
                  3992.766                   3992.652                   3992.569
                  3992.535                   3992.561                   3992.642
                  3992.765                   3992.907                   3993.043
                  3993.151                   3993.217                   3993.232
                  3993.195                   3993.111                   3992.992
                  3992.853                   3992.714                   3992.595
                  3992.510                   3992.469                   3992.469
                  3992.502                   3992.549                   3992.588
                  3992.599                   3992.563                   3992.474
                  3992.338                   3992.173                   3992.008
                  3991.873                   3991.791                   3991.771
                  3991.809                   3991.889                   3991.992
                  3992.099                   3992.194                   3992.267
                  3992.311                   3992.325                   3992.310
                  3992.271                   3992.218                   3992.162
                  3992.116                   3992.087                   3992.081
                  3992.095                   3992.122                   3992.153
                  3992.176                   3992.182                   3992.161
                  3992.112                   3992.035                   3991.937
                  3991.829                   3991.726                   3991.644
                  3991.596                   3991.593                   3991.636
                  3991.721                   3991.837                   3991.970
                  3992.105                   3992.228                   3992.328
                  3992.397                   3992.431                   3992.429
                  3992.396                   3992.342                   3992.281
                  3992.226                   3992.186                   3992.164
                  3992.160                   3992.174                   3992.203
                  3992.243                   3992.293                   3992.350
                  3992.414                   3992.492                   3992.591
                  3992.720                   3992.885                   3993.087
                  3993.317                   3993.562                   3993.803
                  3994.018                   3994.186                   3994.283
                  3994.292                   3994.201                   3994.009
                  3993.723                   3993.362                   3992.952
                  3992.525                   3992.111                   3991.740
                  3991.436                   3991.214                   3991.081
                  3991.039                   3991.080                   3991.191
                  3991.354                   3991.549                   3991.755
                  3991.955                   3992.133                   3992.280
                  3992.392                   3992.468                   3992.511
                  3992.523                   3992.509                   3992.476
                  3992.431                   3992.386                   3992.349
                  3992.327                   3992.324                   3992.343
                  3992.383                   3992.441                   3992.513
                  3992.592                   3992.668                   3992.733
                  3992.779                   3992.801                   3992.797
                  3992.770                   3992.727                   3992.675
                  3992.621                   3992.574                   3992.537
                  3992.513                   3992.499                   3992.492
                  3992.482                   3992.460                   3992.418
                  3992.356                   3992.275                   3992.187
                  3992.102                   3992.035                   3991.995
                  3991.987                   3992.014                   3992.071
                  3992.151                   3992.246                   3992.347
                  3992.447                   3992.541                   3992.622
                  3992.689                   3992.739                   3992.774
                  3992.795                   3992.806                   3992.812
                  3992.814                   3992.815                   3992.817
                  3992.818                   3992.818                   3992.814
                  3992.803                   3992.782                   3992.748
                  3992.699                   3992.637                   3992.565
                  3992.485                   3992.400                   3992.310
                  3992.213                   3992.111                   3992.006
                  3991.905                   3991.816                   3991.748
                  3991.707                   3991.695                   3991.712
                  3991.760                   3991.838                   3991.952
                  3992.107                   3992.308                   3992.557
                  3992.853                   3993.186                   3993.542
                  3993.899                   3994.235                   3994.526
                  3994.753                   3994.902                   3994.961
                  3994.925                   3994.792                   3994.568
                  3994.263                   3993.892                   3993.473
                  3993.030                   3992.583                   3992.156
                  3991.772                   3991.446                   3991.192
                  3991.018                   3990.924                   3990.906
                  3990.955                   3991.059                   3991.202
                  3991.369                   3991.545                   3991.715
                  3991.864                   3991.981                   3992.055
                  3992.083                   3992.067                   3992.014
                  3991.933                   3991.837                   3991.741
                  3991.658                   3991.601                   3991.582
                  3991.609                   3991.686                   3991.812
                  3991.984                   3992.193                   3992.426
                  3992.670                   3992.910                   3993.129
                  3993.314                   3993.450                   3993.526
                  3993.535                   3993.477                   3993.354
                  3993.177                   3992.957                   3992.710
                  3992.454                   3992.210                   3991.998
                  3991.842                   3991.758                   3991.755
                  3991.832                   3991.975                   3992.161
                  3992.367                   3992.571                   3992.759
                  3992.922                   3993.059                   3993.169
                  3993.255                   3993.317                   3993.358
                  3993.382                   3993.392                   3993.394
                  3993.393                   3993.394                   3993.404
                  3993.424                   3993.454                   3993.489
                  3993.518                   3993.529                   3993.509
                  3993.450                   3993.349                   3993.212
                  3993.049                   3992.875                   3992.704
                  3992.548                   3992.417                   3992.313
                  3992.239                   3992.193                   3992.173
                  3992.177                   3992.202                   3992.243
                  3992.295                   3992.351                   3992.404
                  3992.445                   3992.462                   3992.446
                  3992.388                   3992.284                   3992.138
                  3991.962                   3991.779                   3991.613
                  3991.486                   3991.412                   3991.394
                  3991.430                   3991.509                   3991.622
                  3991.761                   3991.915                   3992.080
                  3992.247                   3992.410                   3992.564
                  3992.702                   3992.819                   3992.906
                  3992.951                   3992.943                   3992.874
                  3992.747                   3992.579                   3992.396
                  3992.229                   3992.102                   3992.030
                  3992.022                   3992.081                   3992.206
                  3992.393                   3992.627                   3992.892
                  3993.163                   3993.417                   3993.632
                  3993.790                   3993.884                   3993.912
                  3993.886                   3993.820                   3993.736
                  3993.647                   3993.565                   3993.490
                  3993.418                   3993.344                   3993.263
                  3993.176                   3993.087                   3992.998
                  3992.915                   3992.843                   3992.785
                  3992.744                   3992.721                   3992.714
                  3992.718                   3992.728                   3992.736
                  3992.729                   3992.696                   3992.628
                  3992.520                   3992.379                   3992.222
                  3992.074                   3991.962                   3991.906
                  3991.919                   3992.000                   3992.139
                  3992.319                   3992.518                   3992.716
                  3992.893                   3993.035                   3993.131
                  3993.177                   3993.175                   3993.128
                  3993.047                   3992.942                   3992.827
                  3992.714                   3992.618                   3992.548
                  3992.510                   3992.504                   3992.529
                  3992.577                   3992.640                   3992.709
                  3992.773                   3992.823                   3992.854
                  3992.864                   3992.855                   3992.838
                  3992.821                   3992.811                   3992.809
                  3992.812                   3992.813                   3992.802
                  3992.773                   3992.716                   3992.627
                  3992.504                   3992.357                   3992.202
                  3992.058                   3991.942                   3991.863
                  3991.820                   3991.814                   3991.843
                  3991.910                   3992.014                   3992.154
                  3992.325                   3992.518                   3992.724
                  3992.933                   3993.136                   3993.323
                  3993.486                   3993.618                   3993.713
                  3993.768                   3993.783                   3993.763
                  3993.711                   3993.636                   3993.544
                  3993.441                   3993.331                   3993.218
                  3993.103                   3992.986                   3992.865
                  3992.736                   3992.595                   3992.438
                  3992.268                   3992.093                   3991.926
                  3991.786                   3991.696                   3991.671
                  3991.723                   3991.852                   3992.046
                  3992.283                   3992.538                   3992.780
                  3992.982                   3993.128                   3993.209
                  3993.229                   3993.206                   3993.165
                  3993.130                   3993.123                   3993.156
                  3993.233                   3993.349                   3993.493
                  3993.648                   3993.795                   3993.916
                  3993.996                   3994.027                   3994.008
                  3993.945                   3993.846                   3993.726
                  3993.598                   3993.473                   3993.359
                  3993.261                   3993.178                   3993.107
                  3993.043                   3992.979                   3992.909
                  3992.830                   3992.743                   3992.652
                  3992.564                   3992.484                   3992.415
                  3992.359                   3992.312                   3992.267
                  3992.217                   3992.159                   3992.092
                  3992.019                   3991.952                   3991.900
