-42.0333	11.35	96	12.9152
-45.2667	11.75	59	11.2646
-47.0667	11.9667	172	23.6302
-60.5333	21.4667	58	86.3899
-61.7	24.55	74	95.095
-71.7	34.4333	43	163.82
-72.6667	22.7	28	159.121
-73.8333	24.65	54	166.8
-77.3	13.8333	191	134.01
-77.0667	10	67	131.52
-43.3	2.35	50	74.81
-51.1	8.0333	69	89.0802
-68.9667	22.5167	67	119.875
-71.5667	24.35	36	145.741
-73.8167	24.8667	75	166.414
-29.2767	59.8283	65	1.91661
-74.85	12.8833	51	140.143
-71.6667	15.6167	27	148.066
-74.7833	15.85	21	140.669
-75.8667	15.0667	61	137.38
-77.75	12.8667	54	132.508
-76.95	10.0333	62	131.887
-78.15	11.25	60	129.942
-75.8	14.9	94	137.41
-70.7167	15.6833	50	147.969
-68.4	15.4667	44	147.09
-66.2	15.7167	54	150.604
-64.2	15.9667	60	151.16
-64.5833	14.0333	53	151.823
-54.4833	10.9833	49	84.9949
-50.9333	10.8	52	66.9997
-50.8167	11.3833	30	64.6331
-50.8	11.65	36	64.435
-49.5333	8.4	46	81.8599
-44.8333	5.8667	51	73.6599
-43.3	3.8667	48	74.84
-42.8833	3.1	64	72.9686
-37.2	1.8667	38	39.39
-33.6833	1.8167	49	19.6564
-30	1.8667	32	4.82003
-25.4333	1.7833	23	27.007
-15.85	0.5167	73	49.8987
-16.0333	45.0333	60	80.8504
-20.2	44.2	61	50.06
-23.05	43.7	42	37.8919
-24.5	43.4	44	30.34
-26.65	43.0667	39	14.9899
-27.8	42.9333	28	8.87005
-30.3	43.8333	42	9.0399
-31.4667	44.3	86	18.9102
-33.05	44.8833	79	30.0719
-34.1	45.5	60	43.68
-35.4833	46.1667	65	51.0899
-37.3	45.3	65	56.1
-39.05	44.4333	57	69.1143
-44.1833	44.7	50	109.868
-27.8	42.95	28	8.84
-28.4	43.1	230	4.74
-28.3333	43.1333	251	5.06031
-29.0667	43.2	301	0.399815
-29.2667	43.0167	27	0.385008
-29.4	43.2333	147	1.93986
-62.95	37.0667	60	148.032
-67.45	28.7	67	124.789
-61.05	28.7333	48	97.6649
-59.7167	28.6333	47	92.1989
-57.55	28.7167	52	84.6561
-53.6833	28.6833	58	64.2154
-50.25	27.6667	29	41.6701
-45.45	26.4	85	5.9925
-45.5833	26.2167	138	6.24125
-45.45	26.4	31	5.9925
-51.0333	24.4	110	40.3699
-56.6	20.3833	82	67.1793
-53.6	20.3833	79	49.5923
-46.158	11.5067	32	17.4078
-53.1667	8.5667	51	92.8599
-21.7333	16.45	53	148.295
-29.0167	19.75	52	100.69
-31.9	19.8667	54	88.22
-34.4167	19.65	57	76.2016
-36.5333	19.5167	34	62.7058
-38.8	19.5333	75	48.64
-40.5	19.5667	26	37.0002
-41.6333	19.6167	68	28.6939
-42.7333	19.65	8	21.5208
-43.8167	19.5667	65	15.0122
-44.95	19.5667	292	7.78869
-44.55	19.6833	96	10.319
-46.1333	19.5617	41	0.795391
-46.11	19.5583	72	0.634942
-47.4167	19.2667	57	11.2165
-47.4183	19.2	20	11.134
-47.4283	19.23	33	11.2486
-47.35	19.2717	60	10.7327
-47.3467	19.275	32	10.7121
-47.3433	19.28	44	10.6941
-47.34	19.2833	60	10.6708
-47.3367	19.2883	38	10.6503
-47.4367	19.15	42	11.2464
-47.44	19.1533	42	11.2748
-48.65	19.6833	247	21.0134
-49.7667	20.0167	24	29.3909
-50.8667	20.35	21	36.1946
-51.9333	20.65	52	42.0392
-51.9333	20.65	46	42.0392
-52.9333	21	21	47.8198
-53.9667	21.3167	88	53.2802
-55	21.7333	63	59.3001
-56.65	22.2333	54	69.3799
-60.6167	27.25	47	90.5442
-62	29.1	59	101.91
-63.3833	30.9	50	110.106
-18.35	10.4833	43	164.813
-18.35	10.4833	42	164.813
-19.55	5.0833	61	73.8272
-20.6	2.05	70	54.1694
-59.1667	32.6167	29	102.456
-52.5833	32.7	33	78.0067
-52.0667	32.6	26	74.8302
-43.8667	0.8	65	99.0502
