                    U.  S.  G E O L O G I C A L  S U R V E Y

                     E A R T H Q U A K E  D A T A  B A S E



 FILE CREATED:  Mon Jan 21 14:22:57 2008
 Circle Search   Earthquakes=      2592
 Circle Center Point Latitude:   62.499N  Longitude:   114.670W
 Radius:   20014.199 km
 Catalog Used: Preliminary Determination of Epicenters
 Date Range: Year:    2007  -   2007   Month: 01/Day: 01   Month: 12/Day: 31
 Magnitude Range:   5.0  -   9.0
 Depth Range:    0  -  900
 Data Selection: Historical & Preliminary Data


 CAT   YEAR   MO DA ORIG TIME   LAT    LONG  DEP  MAGNITUDE    DIST
                                                               km
                                                              

 PDE   2007   01 22 102254.25  51.60 -173.58  43 5.00 mb GS    3630
 PDE   2007   01 22 123521.28   0.94  126.02  10 5.00 mb GS   11366
 PDE   2007   01 22 164433.80   2.82   95.81  24 5.30 Mw CMT  12320
 PDE   2007   01 22 164450.78   0.40  126.24  10 5.30 Mw CMT  11410
 PDE   2007   01 22 181444.32   1.13  126.37  10 5.20 mb GS   11331
 PDE   2007   01 22 192549.47  -3.32  146.35  10 5.80 Mw CMT  10787
 PDE   2007   01 23 041607.37 -43.14   41.65  10 5.50 Mw CMT  17351
 PDE   2007   01 23 043719.37  -6.82  130.03 112 5.80 mb GS   11950
 PDE   2007   01 23 113449.46  46.17  153.15  10 5.40 Mw CMT   5705
 PDE   2007   01 23 114441.06   1.22  126.06  10 5.50 Mw CMT  11336
 PDE   2007   01 23 121635.98  -3.03  136.18  10 5.10 Mw CMT  11273
 PDE   2007   01 23 171620.88 -13.10  167.05 188 5.90 mb GS   10686
 PDE   2007   01 23 204016.30 -45.31  -72.19  32 5.30 Mw CMT  12523
 PDE   2007   01 23 224625.67 -55.31  -29.38  35 5.60 Mw CMT  14980
 PDE   2007   01 24 015330.79  -2.37  128.06  35 5.00 Mw CMT  11602
 PDE   2007   01 24 084027.86   1.02  125.97  10 5.60 Mw CMT  11360
 PDE   2007   01 24 093431.83   1.12  126.11  19 5.40 Mw CMT  11344
 PDE   2007   01 24 112745.76   1.11  126.33  10 5.00 mb GS   11335
 PDE   2007   01 24 143527.15 -53.24  159.47  10 5.00 Mw CMT  14828
 PDE   2007   01 25 000655.30  15.02  -92.44 118 5.10 Mw CMT   5551
 PDE   2007   01 25 003600.22   1.08  126.09  10 5.00 mb GS   11348
 PDE   2007   01 25 042641.34  -2.70  136.39  50 5.00 Mw CMT  11230
 PDE   2007   01 25 062007.17  -3.26  135.08  10 5.10 Mw CMT  11350
 PDE   2007   01 25 105917.65  22.56  121.93  36 6.00 Mw S     9352
 PDE   2007   01 25 135244.90 -16.52  176.63  30 5.00 Mw CMT  10564
